,Texto,Sentimento
93,"RT @cesarcalejon1: Você pode achar que é um truque, mas, após os anos do bolsonarismo, quando o ódio e a violência foram usados para fazer…",Insatisfeito
94,RT @pollycabral1: Eita como o Lula é amado ❤️ que fofura https://t.co/K5eVwcKyl9,Insatisfeito
95,"RT @lulaverso: “Lula Lula! Já caiu o preço da picanha!” 
é muita fofura e sabedoria juntas! https://t.co/hdEs9r4qvu",Insatisfeito
96,"RT @carlosjordy: Questionado por uma criança sobre a picanha, Lula pede paciência e diz que o preço vai diminuir mas não é da noite pro dia…",Insatisfeito
97,"RT @lazarorosa25: Presidente Lula com a família de Marcelo Arruda, covardemente assassinado no dia do seu aniversário por um bolsonarista.…",Insatisfeito
98,RT @carlosjordy: Ministro da Justiça de lula visita o Complexo da Maré e se reúne com lideranças. Ele foi sem segurança nem escolta. Convoc…,Insatisfeito
99,@OzlemGurses Brezilya'da Lula destek verir Kılıçdaroğlu'na oradan çok oy alırız,Insatisfeito
100,RT @jovianoa: Para recuperar a estrada Mogi - Bertioga (q é federal) Lula disse q ia levar 6 meses. O Governador Tarcísio de Freitas dispen…,Insatisfeito
101,RT @CMarinh0: Alexandre de Moraes e Lula estão apavorados...Olha a terrorista que eles mandaram prender pelos ataques do dia 08 de Janeiro.…,Insatisfeito
102,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
103,RT @lazarorosa25: Criança para o Presidente: “Lula Lula! Já caiu o preço da picanha!”. https://t.co/nkhTzWuQxn,Insatisfeito
104,"RT @senadorhumberto: Joseph Stiglitz, prêmio Nobel de Economia, diz que o presidente Lula está totalmente certo ao criticar as altas taxas…",Insatisfeito
105,"os auxilios vão aumentar pra 800,00 EU TE AMO LULA",Insatisfeito
106,Formanda de direito usa jingle contra Lula e faz discurso épico em defesa da justiça e da liberdade de expressão (v… https://t.co/YI8mo6BREc,Insatisfeito
107,"RT @armandossilva: Depois da “despiora” durante o governo Bolsonaro, vem aí a “desmelhora do governo Lula”!

Vocês já perceberam, que de 20…",Insatisfeito
108,"RT @centralpolitcs: A avaliação é que, se for bem recebida pelos investidores, a proposta da nova âncora fiscal ajudaria o BC a flexibiliza…",Insatisfeito
109,"RT @gazetadopovo: PODCAST 15 MINUTOS 🎧

8 de janeiro: como o governo Lula tenta barrar a instalação de uma CPI: https://t.co/v6oslNXBAU htt…",Insatisfeito
110,"Promessa de derrubar preço da picanha persegue Lula mais uma vez.

A verdade é assim, incomoda. 
https://t.co/vOmd3DSVgM",Insatisfeito
111,"RT @ocolunista_: Moro demonizando a política mais uma vez. Qual o problema de Lula ""fazer política""? Nenhum, ele é político.

Além disso, f…",Insatisfeito
112,RT @Zambelli2210: lula está DESTRUINDO tudo o que @JairBolsonaro e Guedes construíram para o povo brasileiro com muito trabalho e competênc…,Insatisfeito
113,"RT @viniciuscfp82: Jornalistas da CNN se chocam com os dados econômicos da Argentina e falam em lástima. Algum amigão de Lula, na América L…",Insatisfeito
114,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
115,"RT @FlavioBolsonaro: Primeiro disse que policial não era gente e agora que o povo tem medo da polícia, que deve ser temida pelo ladrão vaga…",Insatisfeito
116,"RT @nikolas_dm: Juntamente com @andrefernm e @filipebarrost, protocolamos na PGR um pedido de investigação contra Lula e Padilha pela compr…",Insatisfeito
117,"RT @saritacoelho: Entregas de Bolsonaro continuam, mesmo 3 meses após o início do desgoverno Lula. https://t.co/oI57tcQEqX",Insatisfeito
118,RT @juniormelorn_: Desprezo? Internet chama a atenção para forma que Lula faz revista em militares durante evento https://t.co/6B6sTqQ57i,Insatisfeito
119,"RT @choquei: “Oi Lula, eu te amo” 😍✨

https://t.co/f36LVGvN9s",Insatisfeito
120,"@pullitmar @BlogdoNoblat Tem q hostilizar a todos, tá!! Por exemplo esses ministros do Lula aqui.... https://t.co/LopLFwmfCK",Insatisfeito
121,RT @lazarorosa25: Criança para o Presidente: “Lula Lula! Já caiu o preço da picanha!”. https://t.co/nkhTzWuQxn,Insatisfeito
122,"@SensoCrtico1 Lula esta certo de estar errado, entenda abaixo",Insatisfeito
123,"RT @Chavista0101: #ElBloqueoEsCriminal
Lula rescata su programa de seguridad para reducir la violencia",Insatisfeito
124,"RT @carlosjordy: Questionado por uma criança sobre a picanha, Lula pede paciência e diz que o preço vai diminuir mas não é da noite pro dia…",Insatisfeito
125,"RT @choquei: “Oi Lula, eu te amo” 😍✨

https://t.co/f36LVGvN9s",Insatisfeito
126,"RT @Zambelli2210: Novamente lula ataca e menospreza o esforço exaustivo e o mérito dos servidores concursados para justificar seus atos.

C…",Insatisfeito
127,"@mfriasoficial O Lula é  uma farsa, uma mentira apoiada pela imprensa tradicional. Essa decadencia no Brasil é  só… https://t.co/9BOJtCYngg",Insatisfeito
128,"Reservas internacionais cresceram US$ 14,2 bi no governo Lula
https://t.co/oJwmrkDfVW",Insatisfeito
129,RT @sigasociedade: Quando as obesas irão processar o Lula?,Insatisfeito
130,"RT @PrJosiasPereir3: 🔴 Seguindo orientações de George Soros, Zanin deverá ser barrado para o cargo no STF, mesmo sendo o preferido de Lula.…",Insatisfeito
131,"RT @cabogilberto: Flávio Dino, o ministro que entra na Maré, complexo de favelas mais armada do Rio, com apenas 2 carros e sem trocar tiros…",Insatisfeito
132,Covardia de Lula contra o povo nordestino. Desligaram as bombas da transposição do São Francisco para o cartel dos… https://t.co/U1BQC9v3Sa,Insatisfeito
133,"RT @smnthbruxa: Oi, Lula, eu te amo! ❤️💕
 https://t.co/QU0N62cfip",Insatisfeito
134,@Zambelli2210 Lula não saber dinheiro encomica.Meus Deus.,Insatisfeito
135,"RT @SergioSantosLor: Lula se solidariza com Pâmela Silva e seus filhos. Pâmela era companheira de Marcelo Arruda, covardemente assassinado…",Insatisfeito
136,RT @opilhado: Por que será que o governo Lula tem acesso tão tranquilo a comunidades violentíssimas e dominadas pelo tráfico de drogas? Mas…,Insatisfeito
137,"RT @senadorhumberto: Joseph Stiglitz, prêmio Nobel de Economia, diz que o presidente Lula está totalmente certo ao criticar as altas taxas…",Insatisfeito
138,"@folha A Folha anda mal mesmo. Usa  fala de Kim K...para refutar Lula. Que vergonha, que mesquinhez.",Insatisfeito
139,"RT @cesarcalejon1: Você pode achar que é um truque, mas, após os anos do bolsonarismo, quando o ódio e a violência foram usados para fazer…",Insatisfeito
140,"RT @SergioAJBarrett: O momento ternura do Lula com o menino da plateia.       
E quanta diferença dessas imagens com aquelas do Bolsonaro t…",Insatisfeito
